COUNTER,AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,GYROX,GYROY,TIMESTAMP,FUNC_ID,FUNC_VALUE,MARKER,SYNC_SIGNAL]
48,4109.74359,4356.410256,3839.487179,4191.282051,4175.897436,4055.384615,4468.205128,4045.641026,4370.25641,4235.384615,4346.666667,4167.179487,4242.564103,4150.769231,1680,1745,21.957,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,
49,4078.974359,4358.461538,3846.153846,4202.564103,4186.153846,4067.692308,4475.897436,4041.538462,4374.358974,4235.384615,4285.128205,4165.641026,4242.051282,4149.74359,1681,1744,21.965,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,
50,4078.461538,4354.358974,3836.923077,4201.025641,4183.076923,4073.333333,4470.25641,4040.512821,4373.846154,4241.025641,4320.512821,4161.538462,4237.435897,4153.333333,1680,1744,21.973,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,
51,4097.435897,4356.410256,3840,4196.410256,4183.076923,4066.666667,4472.307692,4034.358974,4378.461538,4237.435897,4377.948718,4166.666667,4242.564103,4141.538462,1680,1744,21.98,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,
52,4098.974359,4349.74359,3849.230769,4199.487179,4185.128205,4069.230769,4473.846154,4029.230769,4365.641026,4231.794872,4391.794872,4167.692308,4240,4164.615385,1680,1744,21.988,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,
53,4110.769231,4356.410256,3843.076923,4197.435897,4183.589744,4067.179487,4470.769231,4034.871795,4366.666667,4236.410256,4344.102564,4166.153846,4244.102564,4159.487179,1681,1745,21.996,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,
54,4095.384615,4357.948718,3849.230769,4200.512821,4190.769231,4064.615385,4480,4034.871795,4373.333333,4234.358974,4264.615385,4170.769231,4243.076923,4143.589744,1680,1745,22.004,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,
55,4077.435897,4351.794872,3836.923077,4197.435897,4185.641026,4069.230769,4477.435897,4032.820513,4368.717949,4231.282051,4295.384615,4170.769231,4236.410256,4172.307692,1681,1744,22.013,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,
56,4090.769231,4356.410256,3837.435897,4198.461538,4183.589744,4070.25641,4476.410256,4035.384615,4348.205128,4230.769231,4383.076923,4154.871795,4224.102564,4167.692308,1680,1745,22.019,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,
57,4117.948718,4353.846154,3855.897436,4195.384615,4182.564103,4064.102564,4474.358974,4038.974359,4369.230769,4230.25641,4409.74359,4167.179487,4248.205128,4152.820513,1680,1746,22.027,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,
58,4119.487179,4356.410256,3845.128205,4191.794872,4179.487179,4047.179487,4473.333333,4031.794872,4390.769231,4232.307692,4346.666667,4167.179487,4262.051282,4137.948718,1682,1745,22.035,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,
59,4077.948718,4354.358974,3841.025641,4201.538462,4188.717949,4047.179487,4478.461538,4026.153846,4327.692308,4229.74359,4279.487179,4141.538462,4212.820513,4146.153846,1681,1743,22.043,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,
60,4077.948718,4352.307692,3842.051282,4198.974359,4186.153846,4062.051282,4479.487179,4031.282051,4316.923077,4227.179487,4318.461538,4157.435897,4214.871795,4188.205128,1679,1745,22.051,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,
61,4116.410256,4362.051282,3843.589744,4193.846154,4179.487179,4048.717949,4478.461538,4032.307692,4378.461538,4229.74359,4362.051282,4164.102564,4261.538462,4165.641026,1683,1744,22.059,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,
62,4095.384615,4356.410256,3841.025641,4193.846154,4181.538462,4048.205128,4470.25641,4025.641026,4387.179487,4230.25641,4352.820513,4172.307692,4259.487179,4132.820513,1678,1744,22.066,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,
63,4053.333333,4355.897436,3837.948718,4202.051282,4192.820513,4072.307692,4490.769231,4025.641026,4356.410256,4227.692308,4338.974359,4163.076923,4230.769231,4145.128205,1682,1745,22.074,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,
64,4100.512821,4364.102564,3849.74359,4201.025641,4188.205128,4056.410256,4487.692308,4032.307692,4326.666667,4230.769231,4326.666667,4123.076923,4225.641026,4168.205128,1681,1745,22.082,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,
65,4156.410256,4364.102564,3835.897436,4183.076923,4166.153846,4038.461538,4464.102564,4029.74359,4357.948718,4231.794872,4342.051282,4141.538462,4263.076923,4191.282051,1679,1745,22.09,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,
66,4093.333333,4360,3837.948718,4198.461538,4183.589744,4050.25641,4492.307692,4027.179487,4367.179487,4225.641026,4346.666667,4164.615385,4246.153846,4171.794872,1681,1744,22.098,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,
67,4081.538462,4358.974359,3851.794872,4208.205128,4191.282051,4053.333333,4487.692308,4032.820513,4346.666667,4227.179487,4337.948718,4170.25641,4224.615385,4146.153846,1681,1744,22.105,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,
68,4128.717949,4362.051282,3831.282051,4193.846154,4172.307692,4041.025641,4478.461538,4029.230769,4376.410256,4228.717949,4350.769231,4161.538462,4261.538462,4144.102564,1680,1744,22.113,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,
