COUNTER,AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,GYROX,GYROY,TIMESTAMP,FUNC_ID,FUNC_VALUE,MARKER,SYNC_SIGNAL,USER,CLASS
112.0,4717.43589744,4566.66666667,4612.30769231,4347.69230769,4571.79487179,4020.0,4551.79487179,4686.15384615,4582.56410256,4771.79487179,4580.51282051,4522.05128205,4364.61538462,4325.12820513,1695.0,1662.0,216.839,0.0,0.0,0.0,0.0,mike,0
113.0,4719.48717949,4566.66666667,4617.43589744,4350.25641026,4584.1025641,4029.74358974,4555.8974359,4691.28205128,4584.61538462,4774.35897436,4581.02564103,4524.61538462,4366.66666667,4327.69230769,1694.0,1664.0,216.847,0.0,0.0,0.0,0.0,mike,0
114.0,4722.56410256,4569.23076923,4617.94871795,4348.20512821,4585.64102564,4039.48717949,4570.76923077,4698.97435897,4588.20512821,4780.51282051,4582.05128205,4526.15384615,4372.30769231,4333.84615385,1695.0,1664.0,216.857,0.0,0.0,0.0,0.0,mike,0
115.0,4719.48717949,4569.74358974,4617.43589744,4346.15384615,4572.30769231,4031.28205128,4572.30769231,4697.94871795,4589.74358974,4783.58974359,4586.15384615,4528.20512821,4376.41025641,4335.38461538,1694.0,1663.0,216.862,0.0,0.0,0.0,0.0,mike,0
116.0,4712.30769231,4561.02564103,4614.35897436,4344.61538462,4567.69230769,4021.53846154,4560.0,4693.84615385,4589.23076923,4777.43589744,4584.61538462,4524.1025641,4372.82051282,4328.20512821,1694.0,1663.0,216.87,0.0,0.0,0.0,0.0,mike,0
117.0,4707.17948718,4551.79487179,4605.12820513,4340.51282051,4568.20512821,4022.56410256,4554.87179487,4694.35897436,4586.66666667,4768.71794872,4576.92307692,4520.0,4363.07692308,4323.58974359,1695.0,1664.0,216.878,0.0,0.0,0.0,0.0,mike,0
118.0,4710.25641026,4558.97435897,4605.12820513,4342.05128205,4567.69230769,4023.07692308,4557.94871795,4695.8974359,4584.61538462,4773.33333333,4578.46153846,4524.61538462,4365.12820513,4326.15384615,1694.0,1663.0,216.886,0.0,0.0,0.0,0.0,mike,0
119.0,4718.46153846,4568.71794872,4614.35897436,4345.64102564,4578.97435897,4023.58974359,4557.43589744,4694.87179487,4587.17948718,4784.61538462,4588.20512821,4529.23076923,4374.87179487,4330.25641026,1694.0,1663.0,216.893,0.0,0.0,0.0,0.0,mike,0
120.0,4714.87179487,4559.48717949,4608.71794872,4343.07692308,4581.53846154,4026.66666667,4554.87179487,4689.74358974,4585.12820513,4776.41025641,4583.07692308,4524.61538462,4371.79487179,4328.20512821,1695.0,1662.0,216.901,0.0,0.0,0.0,0.0,mike,0
121.0,4707.69230769,4556.92307692,4601.53846154,4341.53846154,4566.15384615,4027.69230769,4555.38461538,4684.1025641,4581.53846154,4767.69230769,4576.92307692,4520.51282051,4364.1025641,4322.56410256,1694.0,1663.0,216.91,0.0,0.0,0.0,0.0,mike,0
