COUNTER,AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,GYROX,GYROY,TIMESTAMP,FUNC_ID,FUNC_VALUE,MARKER,SYNC_SIGNAL,USER,CLASS
113.0,4687.69230769,4535.8974359,4608.71794872,4277.43589744,4555.38461538,4018.46153846,4527.69230769,4668.71794872,4555.38461538,4703.07692308,4492.30769231,4477.94871795,4366.66666667,4323.07692308,1694.0,1660.0,88.941,0.0,0.0,0.0,0.0,mike,3
114.0,4676.92307692,4534.87179487,4603.58974359,4274.35897436,4554.35897436,4021.02564103,4533.84615385,4670.25641026,4557.43589744,4703.58974359,4490.76923077,4475.8974359,4365.64102564,4322.56410256,1695.0,1662.0,88.949,0.0,0.0,0.0,0.0,mike,3
115.0,4686.15384615,4538.97435897,4606.66666667,4278.97435897,4549.74358974,4023.07692308,4542.05128205,4676.92307692,4561.53846154,4708.71794872,4493.33333333,4477.43589744,4371.28205128,4327.69230769,1695.0,1660.0,88.957,0.0,0.0,0.0,0.0,mike,3
116.0,4693.84615385,4534.35897436,4607.17948718,4279.48717949,4552.30769231,4022.05128205,4538.97435897,4673.84615385,4558.46153846,4706.66666667,4493.33333333,4475.8974359,4370.25641026,4324.1025641,1695.0,1662.0,88.965,0.0,0.0,0.0,0.0,mike,3
117.0,4682.05128205,4523.58974359,4602.05128205,4273.84615385,4555.8974359,4025.64102564,4537.43589744,4664.61538462,4554.87179487,4696.41025641,4483.58974359,4466.66666667,4360.51282051,4308.20512821,1696.0,1662.0,88.973,0.0,0.0,0.0,0.0,mike,3
118.0,4670.76923077,4522.05128205,4600.0,4270.25641026,4554.35897436,4026.66666667,4537.43589744,4662.56410256,4552.82051282,4688.71794872,4473.33333333,4457.94871795,4351.28205128,4298.46153846,1695.0,1662.0,88.981,0.0,0.0,0.0,0.0,mike,3
119.0,4670.76923077,4523.07692308,4597.94871795,4266.15384615,4552.82051282,4020.51282051,4534.87179487,4660.0,4544.61538462,4685.64102564,4471.28205128,4456.41025641,4342.56410256,4300.51282051,1697.0,1662.0,88.988,0.0,0.0,0.0,0.0,mike,3
120.0,4671.28205128,4521.02564103,4593.84615385,4265.64102564,4555.38461538,4022.56410256,4535.38461538,4654.87179487,4542.05128205,4684.61538462,4469.74358974,4457.43589744,4338.46153846,4302.56410256,1695.0,1662.0,88.996,0.0,0.0,0.0,0.0,mike,3
121.0,4666.66666667,4522.05128205,4593.84615385,4267.17948718,4553.84615385,4023.07692308,4531.28205128,4654.87179487,4545.12820513,4686.15384615,4470.76923077,4458.97435897,4344.1025641,4306.15384615,1695.0,1662.0,89.004,0.0,0.0,0.0,0.0,mike,3
122.0,4665.12820513,4524.61538462,4596.92307692,4263.58974359,4548.71794872,4012.82051282,4520.0,4655.8974359,4542.05128205,4687.69230769,4474.87179487,4458.46153846,4349.74358974,4310.76923077,1696.0,1662.0,89.012,0.0,0.0,0.0,0.0,mike,3
