COUNTER,AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,GYROX,GYROY,TIMESTAMP,FUNC_ID,FUNC_VALUE,MARKER,SYNC_SIGNAL,USER,CLASS
128.0,4707.69230769,4564.1025641,4551.79487179,4246.15384615,4487.69230769,4022.05128205,4527.69230769,4718.97435897,4579.48717949,4752.30769231,4500.0,4536.92307692,4364.61538462,4324.1025641,1695.0,1657.0,290.211,0.0,0.0,0.0,0.0,mike,2
0.0,4704.1025641,4567.17948718,4553.33333333,4243.07692308,4490.25641026,4023.58974359,4526.15384615,4709.74358974,4571.79487179,4747.17948718,4490.76923077,4526.15384615,4360.51282051,4320.51282051,1694.0,1655.0,290.219,0.0,0.0,0.0,0.0,mike,2
1.0,4711.28205128,4570.76923077,4555.38461538,4246.15384615,4491.79487179,4028.20512821,4528.20512821,4708.20512821,4572.30769231,4745.12820513,4492.30769231,4526.15384615,4358.97435897,4324.61538462,1695.0,1653.0,290.227,0.0,0.0,0.0,0.0,mike,2
2.0,4715.38461538,4569.23076923,4558.97435897,4252.82051282,4490.76923077,4026.15384615,4524.1025641,4711.79487179,4574.35897436,4747.69230769,4494.35897436,4535.38461538,4359.48717949,4329.23076923,1695.0,1650.0,290.235,0.0,0.0,0.0,0.0,mike,2
3.0,4711.79487179,4567.17948718,4558.46153846,4249.74358974,4491.79487179,4019.48717949,4522.05128205,4706.15384615,4572.82051282,4740.51282051,4492.30769231,4532.82051282,4357.94871795,4322.56410256,1695.0,1648.0,290.243,0.0,0.0,0.0,0.0,mike,2
4.0,4703.07692308,4558.46153846,4547.17948718,4237.43589744,4488.20512821,4016.92307692,4518.97435897,4691.28205128,4560.51282051,4723.07692308,4480.51282051,4520.51282051,4345.64102564,4308.20512821,1694.0,1647.0,290.251,0.0,0.0,0.0,0.0,mike,2
5.0,4686.66666667,4540.51282051,4533.84615385,4227.69230769,4480.51282051,4019.48717949,4506.15384615,4681.53846154,4542.05128205,4706.15384615,4459.48717949,4507.17948718,4323.58974359,4293.33333333,1695.0,1647.0,290.258,0.0,0.0,0.0,0.0,mike,2
6.0,4684.61538462,4538.46153846,4534.35897436,4228.20512821,4485.12820513,4024.61538462,4503.58974359,4684.61538462,4540.0,4706.15384615,4453.84615385,4502.05128205,4315.8974359,4290.25641026,1695.0,1646.0,290.266,0.0,0.0,0.0,0.0,mike,2
7.0,4699.48717949,4553.84615385,4541.02564103,4235.38461538,4491.28205128,4025.12820513,4516.92307692,4690.76923077,4554.35897436,4718.46153846,4470.25641026,4512.30769231,4333.33333333,4303.58974359,1694.0,1647.0,290.274,0.0,0.0,0.0,0.0,mike,2
8.0,4702.05128205,4557.43589744,4541.02564103,4234.35897436,4487.69230769,4020.0,4520.51282051,4689.23076923,4556.92307692,4723.07692308,4477.43589744,4521.02564103,4344.61538462,4311.28205128,1695.0,1646.0,290.282,0.0,0.0,0.0,0.0,mike,2
9.0,4697.94871795,4551.28205128,4538.97435897,4231.79487179,4491.79487179,4022.56410256,4520.51282051,4689.74358974,4554.87179487,4725.12820513,4474.87179487,4518.46153846,4342.56410256,4308.71794872,1694.0,1648.0,290.29,0.0,0.0,0.0,0.0,mike,2
10.0,4697.43589744,4552.30769231,4539.48717949,4232.30769231,4491.79487179,4025.12820513,4518.97435897,4691.79487179,4558.97435897,4730.25641026,4474.35897436,4517.43589744,4343.07692308,4308.20512821,1695.0,1649.0,290.297,0.0,0.0,0.0,0.0,mike,2
11.0,4698.97435897,4555.8974359,4545.12820513,4234.35897436,4480.51282051,4019.48717949,4511.79487179,4692.30769231,4563.07692308,4732.82051282,4476.92307692,4520.0,4346.15384615,4309.74358974,1694.0,1651.0,290.306,0.0,0.0,0.0,0.0,mike,2
12.0,4705.64102564,4557.94871795,4552.30769231,4240.51282051,4482.05128205,4015.38461538,4512.82051282,4694.35897436,4564.61538462,4733.33333333,4483.58974359,4523.58974359,4350.76923077,4311.28205128,1694.0,1652.0,290.313,0.0,0.0,0.0,0.0,mike,2
13.0,4716.41025641,4563.58974359,4555.38461538,4246.15384615,4492.30769231,4021.53846154,4522.56410256,4700.0,4568.71794872,4736.41025641,4491.79487179,4531.79487179,4359.48717949,4319.48717949,1693.0,1651.0,290.321,0.0,0.0,0.0,0.0,mike,2
14.0,4725.12820513,4569.74358974,4563.58974359,4249.74358974,4495.38461538,4029.74358974,4527.69230769,4713.84615385,4578.97435897,4745.12820513,4496.41025641,4542.05128205,4368.20512821,4329.74358974,1693.0,1651.0,290.329,0.0,0.0,0.0,0.0,mike,2
15.0,4725.12820513,4570.25641026,4569.74358974,4249.23076923,4494.87179487,4025.12820513,4524.61538462,4715.8974359,4580.51282051,4750.76923077,4494.35897436,4542.05128205,4365.12820513,4329.23076923,1693.0,1650.0,290.337,0.0,0.0,0.0,0.0,mike,2
16.0,4718.97435897,4566.15384615,4560.51282051,4245.64102564,4494.35897436,4017.43589744,4522.56410256,4706.15384615,4571.28205128,4745.12820513,4491.79487179,4537.43589744,4359.48717949,4326.15384615,1693.0,1651.0,290.344,0.0,0.0,0.0,0.0,mike,2
17.0,4716.92307692,4560.0,4552.30769231,4245.64102564,4492.30769231,4017.43589744,4521.02564103,4703.58974359,4569.23076923,4736.41025641,4491.28205128,4535.8974359,4358.97435897,4325.12820513,1693.0,1652.0,290.353,0.0,0.0,0.0,0.0,mike,2
18.0,4717.43589744,4555.8974359,4555.38461538,4247.17948718,4490.25641026,4020.51282051,4522.56410256,4701.53846154,4567.69230769,4734.87179487,4489.23076923,4531.79487179,4354.87179487,4316.92307692,1692.0,1654.0,290.36,0.0,0.0,0.0,0.0,mike,2
